film_id,display_title,release_year,release_month_num,primary_genre,secondary_genre,sequel_flag,director,lead_actor_1,lead_actor_2,production_house,actor_rank_score,actor_tier_proxy,director_rank_score,director_tier_proxy,budget_cr,worldwide_gross_cr,verdict_raw,financial_data_confidence
BOLLY_2010_0001_dabangg,Dabangg,2010,9,Action,,No,Abhinav Kashyap,Salman Khan,Sonakshi Sinha,"Shree Ashtavinayak Cine Vision, Arbaaz Khan Productions",,,,,41,221.14,hitFlop=5,High
BOLLY_2010_0002_my_name_is_khan,My Name Is Khan,2010,2,Drama,,No,Karan Johar,Shah Rukh Khan,Kajol,"Fox Star Studios, Dharma Productions, Red Chillies Entertainment",,,,,85,223.44,hitFlop=4,High
BOLLY_2010_0003_golmaal_3,Golmaal 3,2010,11,Action,,No,Rohit Shetty,Ajay Devgn,Kareena Kapoor,"Shree Ashtavinayak Cine Vision, Eros International",,,,,40,167,hitFlop=5,High
BOLLY_2010_0004_raajneeti,Raajneeti,2010,6,Thriller,,No,Prakash Jha,Ranbir Kapoor,Ajay Devgn,Prakash Jha Productions,,,,,45,145.5,hitFlop=5,High
BOLLY_2010_0005_housefull,Housefull,2010,4,Comedy,,No,Sajid Khan,Akshay Kumar,Ritesh Deshmukh,Nadiadwala Grandson Entertainment,,,,,30,124.5,hitFlop=5,High
BOLLY_2010_0006_tees_maar_khan,Tees Maar Khan,2010,12,Comedy,,No,Farah Khan,Akshay Kumar,Akshaye Khanna,"UTV Motion Pictures, Hari Om Entertainment",,,,,45,101.89,hitFlop=4,High
BOLLY_2010_0007_once_upon_a_time_in_mumbaai,Once Upon A Time In Mumbaai,2010,7,Action,,No,Milan Luthria,Ajay Devgn,Emraan Hashmi,Balaji Motion Pictures,,,,,38,85.2,hitFlop=4,High
BOLLY_2010_0008_i_hate_luv_storys,I Hate Luv Storys,2010,7,Comedy,,No,Punit Malhotra,Imran Khan,Sonam Kapoor,"UTV Motion Pictures, Dharma Productions",,,,,,72.52,hitFlop=6,Low
BOLLY_2010_0009_anjaana_anjaani,Anjaana Anjaani,2010,9,Comedy,,No,Siddharth Anand,Ranbir Kapoor,Priyanka Chopra,Nadiadwala Grandson Entertainment,,,,,38,69.85,hitFlop=3,High
BOLLY_2010_0010_khatta_meetha,Khatta Meetha,2010,7,Comedy,,No,Priyadarshan,Akshay Kumar,Trisha,"Shree Ashtavinayak Cine Vision, Hari Om Entertainment",,,,,35,62.79,hitFlop=3,High
BOLLY_2010_0011_dulha_mil_gaya,Dulha Mil Gaya,2010,1,Comedy,,No,Muddassar Aziz,Shah Rukh Khan,Fardeen Khan,,9.2267,A,,,25,,hitFlop=1,Low
BOLLY_2010_0012_pyaar_impossible,Pyaar Impossible!,2010,1,Comedy,,No,Jugal Hansraj,Priyanka Chopra,Uday Chopra,Yash Raj Films,8.1369,B,,,14,,hitFlop=2,Low
BOLLY_2010_0013_chance_pe_dance,Chance Pe Dance,2010,1,Comedy,,No,Ken Ghosh,Shahid Kapoor,Mohnish Bahl,UTV Motion Pictures,5.7659,C,2.1915,D,29,16.3,hitFlop=1,High
BOLLY_2010_0014_hello_hum_lallan_bol_rahe_hain,Hello! Hum Lallan Bol Rahe Hain,2010,1,Drama,,No,Dileep Shukla,Rajpal Yadav,,,2.3783,D,,,,,,Missing/Partial
BOLLY_2010_0015_veer,Veer,2010,1,Action,,No,Anil Sharma,Salman Khan,Zarine Khan,Eros International,9.2082,D,5.7345,C,,,hitFlop=3,Missing/Partial
BOLLY_2010_0016_ishqiya,Ishqiya,2010,1,Comedy,,No,Abhishek Chaubey,Naseeruddin Shah,Vidya Balan,Shemaroo Entertainment,3.7695,D,,,19,31.81,hitFlop=3,High
BOLLY_2010_0017_rann,Rann,2010,1,Drama,,No,Ram Gopal Varma,Amitabh Bachchan,Sudeep,"Vistaar Religare Film Fund, Cinergy, Friday Entertainment Venture",7.0113,B,3.7435,D,,,hitFlop=1,Missing/Partial
BOLLY_2010_0018_the_hangman,The Hangman,2010,2,Drama,,No,Vishal Bhandari,Om Puri,Shreyas Talpade,,4.1779,D,,,,,,Missing/Partial
BOLLY_2010_0019_striker,Striker,2010,2,Action,,No,Chandan Arora,Siddharth Narayan,Aditya Pancholi,"Indian Films, Studio 18",,D,1.0638,D,,,hitFlop=1,Missing/Partial
BOLLY_2010_0020_aakhari_decision,Aakhari Decision,2010,2,Action,,No,Deepak Bandhu,Anant Jog,Sumona Chakravarti,,,,,,,,hitFlop=1,Missing/Partial
BOLLY_2010_0021_click,Click,2010,2,Thriller,,No,Sangeeth Sivan,Shreyas Talpade,Sadha,Pritish Nandy Communications,2.8077,D,2.7482,D,7.5,1.6,hitFlop=1,High
BOLLY_2010_0022_toh_baat_pakki,Toh Baat Pakki!,2010,2,Comedy,,No,Kedarh Shinde,Tabu,Sharman Joshi,,5.0682,C,,,,,hitFlop=1,Missing/Partial
BOLLY_2010_0023_karthik_calling_karthik,Karthik Calling Karthik,2010,2,Thriller,,No,Vijay Lalwani,Farhan Akhtar,Deepika Padukone,"Eros International, Excel Entertainment",6.6258,D,,,,,hitFlop=2,Missing/Partial
BOLLY_2010_0024_teen_patti,Teen Patti,2010,2,Drama,,No,Leena Yadav,Amitabh Bachchan,Ben Kingsley,"Hinduja Ventures, Serendipity Films",7.0113,B,,,18,7.63,hitFlop=1,High
BOLLY_2010_0025_atithi_tum_kab_jaoge,Atithi Tum Kab Jaoge?,2010,3,Comedy,,No,Ashwni Dhir,Ajay Devgn,Konkona Sen Sharma,Warner Bros. Pictures,6.8713,C,,,,3.9,hitFlop=4,Low
BOLLY_2010_0026_hello_zindagi,Hello Zindagi,2010,,Drama,,No,Raja Unnithan,Milind Gunaji,Neena Gupta,,,D,,,,,hitFlop=1,Missing/Partial
BOLLY_2010_0027_road_movie,"Road, Movie",2010,3,Drama,,No,Dev Benegal,Abhay Deol,Satish Kaushik,"Indian Films, Studio 18",2.5106,D,,,8,,,Low
BOLLY_2010_0028_rokkk,Rokkk,2010,3,Thriller,,No,Rajesh Ranshinge,Udita Goswami,Shaad Randhawa,,,D,,,5.25,1.05,hitFlop=1,High
BOLLY_2010_0029_thanks_maa,Thanks Maa,2010,3,Drama,,No,Irfan Kamal,Ranvir Shorey,Alok Nath,,3.063,D,,,,,,Missing/Partial
BOLLY_2010_0030_right_yaaa_wrong,Right Yaaa Wrong,2010,3,Thriller,,No,Neeraj Pathak,Sunny Deol,Irrfan Khan,,3.3809,D,,,,,,Missing/Partial
BOLLY_2010_0031_trump_card,Trump Card,2010,,Thriller,,No,Arshad Khan,,,,,,2.1402,D,,,hitFlop=1,Missing/Partial
BOLLY_2010_0032_lahore,Lahore,2010,3,Action,,No,Sanjay Puran Singh Chauhan,Aanaahad,Shraddha Das,Warner Bros. Pictures,,D,,,,,hitFlop=1,Missing/Partial
BOLLY_2010_0033_love_sex_aur_dhokha,Love Sex Aur Dhokha,2010,3,Drama,,No,Dibakar Banerjee,,,Balaji Motion Pictures,,,2.863,D,2,9.8,hitFlop=5,High
BOLLY_2010_0034_shaapit,Shaapit,2010,3,Romance,,No,Vikram Bhatt,Aditya Narayan,Rahul Dev,ASA Productions & Enterprises,,D,2.9028,D,,,,Missing/Partial
BOLLY_2010_0035_hum_tum_aur_ghost,Hum Tum Aur Ghost,2010,3,Drama,,No,Kabeer Kaushik,Arshad Warsi,Dia Mirza,"Indian Films, Studio 18",3.5596,D,1.2309,D,21,8.01,hitFlop=1,High
BOLLY_2010_0036_mittal_v_s_mittal,Mittal v/s Mittal,2010,3,Drama,,No,Karan Razdan,Rituparna Sengupta,Rohit Roy,,1,D,1.4335,D,,,hitFlop=1,Missing/Partial
BOLLY_2010_0037_my_friend_ganesha_3,My Friend Ganesha 3,2010,7,Action,,No,Rajiv S. Ruia,Baba Sehgal,Sayaji Shinde,"Baba Arts, Liquid Pictures",,D,1.1221,D,,1.59,hitFlop=1,Low
BOLLY_2010_0038_prem_kaa_game,Prem Kaa Game,2010,2,Comedy,,No,Ashok Kheny,Arbaaz Khan,Tara Sharma,,2.5366,D,,,,,hitFlop=1,Missing/Partial
BOLLY_2010_0039_well_done_abba,Well Done Abba,2010,3,Comedy,,No,Shyam Benegal,Boman Irani,Minissha Lamba,Reliance Big Pictures,3.6468,D,,,,,,Missing/Partial
BOLLY_2010_0040_pankh,Pankh,2010,4,Drama,,No,Sudipto Chattopadhyaya,Bipasha Basu,Maradona Rebello,,4.5712,D,,,5.5,0.20249999999999999,hitFlop=1,High
BOLLY_2010_0041_sadiyaan,Sadiyaan,2010,4,Drama,,No,Raj Kanwar,Luv Sinha,Ferena Wazeir,,,,3.0499,D,,,,Missing/Partial
BOLLY_2010_0042_tum_milo_toh_sahi,Tum Milo Toh Sahi,2010,4,Drama,,No,Kabir Sadanand,Nana Patekar,Dimple Kapadia,,4.0525,D,1.2486,D,,3.52,hitFlop=1,Low
BOLLY_2010_0043_jaane_kahan_se_aayi_hai,Jaane Kahan Se Aayi Hai,2010,4,Comedy,,No,Milap Zaveri,Riteish Deshmukh,Jacqueline Fernandez,Warner Bros. Pictures,,C,,,,,hitFlop=1,Missing/Partial
BOLLY_2010_0044_prince,Prince,2010,4,Action,,No,Kookie Gulati,Vivek Oberoi,Aruna Shields,,3.486,D,,,,,hitFlop=2,Missing/Partial
BOLLY_2010_0045_the_japanese_wife,The Japanese Wife,2010,4,Drama,,No,Aparna Sen,Rahul Bose,Raima Sen,,2.3217,D,,,,,hitFlop=1,Missing/Partial
