film_id,canonical_title,display_title,release_year,release_month,release_month_num,release_date,primary_genre,secondary_genre,all_genres,sequel_flag,remake_flag,director,lead_actor_1,lead_actor_2,cast_list,writer_list,production_house,actor_rank_score,actor_tier_proxy,director_rank_score,director_tier_proxy,budget_cr,budget_usd,worldwide_gross_cr,worldwide_gross_usd,domestic_gross_cr,domestic_gross_usd,opening_day_cr,opening_weekend_cr,runtime_minutes,imdb_id,imdb_rating,content_score_clarity,content_score_novelty,content_score_execution,content_score_originality,content_score_structure,content_score_pacing,content_score_engagement,content_score_authenticity,verdict_raw,financial_data_confidence,is_synthetic,source,data_version,last_updated
BOLLY_2010_0001_dabangg,Dabangg,Dabangg,2010,September,9,2010-09-10,Action,,Action | Comedy | Crime,No,,Abhinav Kashyap,Salman Khan,Sonakshi Sinha,Salman Khan | Sonakshi Sinha | Vinod Khanna | Dimple Kapadia,Dilip Shukla | Abhinav Kashyap,"Shree Ashtavinayak Cine Vision, Arbaaz Khan Productions",,,,,41,,221.14,,,,,,,tt1620719,6.2,,,,,,,,,hitFlop=5,High,,wikipedia,2.0,2026-07-02
BOLLY_2010_0002_my_name_is_khan,My Name Is Khan,My Name Is Khan,2010,February,2,2010-02-12,Drama,,Drama | Romance | Thriller,No,,Karan Johar,Shah Rukh Khan,Kajol,Shah Rukh Khan | Kajol | Katie A. Keane | Kenton Duty,Shibani Bathija (story) | Shibani Bathija (dialogue) | Niranjan Iyengar (dialogue),"Fox Star Studios, Dharma Productions, Red Chillies Entertainment",,,,,85,,223.44,,,,,,,tt1188996,7.9,,,,,,,,,hitFlop=4,High,,wikipedia,2.0,2026-07-02
BOLLY_2010_0003_golmaal_3,Golmaal 3,Golmaal 3,2010,November,11,2010-11-05,Action,,Action | Comedy,No,,Rohit Shetty,Ajay Devgn,Kareena Kapoor,Mithun Chakraborty | Ajay Devgn | Kareena Kapoor | Tusshar Kapoor,Robin Bhatt (script consultant) | Farhad (dialogue) | Bunty Rathore (additional dialogue) | Yunus Sajawal (screenplay) | Sajid (dialogue),"Shree Ashtavinayak Cine Vision, Eros International",,,,,40,,167,,,,,,,tt1562859,5.6,,,,,,,,,hitFlop=5,High,,wikipedia,2.0,2026-07-02
BOLLY_2010_0004_raajneeti,Raajneeti,Raajneeti,2010,June,6,2010-06-04,Thriller,,Action | Crime | Drama,No,,Prakash Jha,Ranbir Kapoor,Ajay Devgn,Naseeruddin Shah | Arjun Rampal | Nana Patekar | Ranbir Kapoor,Prakash Jha | Anjum Rajabali | Sameer (lyrics),Prakash Jha Productions,,,,,45,,145.5,,,,,,,tt1291465,7.1,,,,,,,,,hitFlop=5,High,,wikipedia,2.0,2026-07-02
BOLLY_2010_0005_housefull,Housefull,Housefull,2010,April,4,2010-04-30,Comedy,,Comedy,No,,Sajid Khan,Akshay Kumar,Ritesh Deshmukh,Akshay Kumar | Arjun Rampal | Deepika Padukone | Lara Dutta,Anvita Dutt Guptan (dialogues) | Sajid Khan (screenplay) | Sajid Nadiadwala (story) | Sameer (lyrics) | Vibha Singh (screenplay) | Milap Zaveri (screenplay),Nadiadwala Grandson Entertainment,,,,,30,,124.5,,,,,,,tt1573072,5.5,,,,,,,,,hitFlop=5,High,,wikipedia,2.0,2026-07-02
BOLLY_2010_0006_tees_maar_khan,Tees Maar Khan,Tees Maar Khan,2010,December,12,2010-12-24,Comedy,,Comedy | Crime | Drama,No,,Farah Khan,Akshay Kumar,Akshaye Khanna,Katrina Kaif | Salman Khan | Akshay Kumar | Farah Khan,Vishal Dadlani (lyrics) | Anvita Dutt Guptan (lyrics) | Ashmith Kunder (screenplay) | Shirish Kunder (dialogue) | Shirish Kunder (screenplay) | Shirish Kunder (story),"UTV Motion Pictures, Hari Om Entertainment",,,,,45,,101.89,,,,,,,tt1572311,2.6,,,,,,,,,hitFlop=4,High,,wikipedia,2.0,2026-07-02
BOLLY_2010_0007_once_upon_a_time_in_mumbaai,Once Upon A Time In Mumbaai,Once Upon A Time In Mumbaai,2010,July,7,,Action,,Action,No,,Milan Luthria,Ajay Devgn,Emraan Hashmi,,,Balaji Motion Pictures,,,,,38,,85.2,,,,,,,,,,,,,,,,,hitFlop=4,High,,wikipedia,2.0,2026-07-02
BOLLY_2010_0008_i_hate_luv_storys,I Hate Luv Storys,I Hate Luv Storys,2010,July,7,2010-07-02,Comedy,,Comedy | Drama | Romance,No,,Punit Malhotra,Imran Khan,Sonam Kapoor,Imran Khan | Sonam Kapoor | Sammir Dattani | Samir Soni,Vishal Dadlani (lyrics) | Kumaar (lyrics) | Punit Malhotra (story),"UTV Motion Pictures, Dharma Productions",,,,,,,72.52,,,,,,,tt1667838,5.7,,,,,,,,,hitFlop=6,Low,,wikipedia,2.0,2026-07-02
BOLLY_2010_0009_anjaana_anjaani,Anjaana Anjaani,Anjaana Anjaani,2010,September,9,2010-10-01,Comedy,,Comedy | Drama | Musical,No,,Siddharth Anand,Ranbir Kapoor,Priyanka Chopra,Priyanka Chopra | Carl Marino | Ranbir Kapoor | Aubrey K. Miller,Mamta Anand (story) | Siddharth Anand (dialogue) | Siddharth Anand (screenplay) | Vishal Dadlani (lyrics) | Advaita Kala (screenplay) | Kumaar (lyrics) | Kausar Munir (lyrics),Nadiadwala Grandson Entertainment,,,,,38,,69.85,,,,,,,tt1499201,5.7,,,,,,,,,hitFlop=3,High,,wikipedia,2.0,2026-07-02
BOLLY_2010_0010_khatta_meetha,Khatta Meetha,Khatta Meetha,2010,July,7,2010-07-23,Comedy,Priyadarshan,Comedy | Crime | Drama,Akshay Kumar,,Priyadarshan,Akshay Kumar,Trisha,Akshay Kumar | Rajpal Yadav | Aruna Irani | Kulbhushan Kharbanda,Jay Master (dialogues) | Priyadarshan (screenplay) | Priyadarshan (story) | Nitin Raikwar (lyrics) | Shehzad Roy (lyrics),"Shree Ashtavinayak Cine Vision, Hari Om Entertainment",,,,,35,,62.79,,,,,,,tt1455811,5.9,,,,,,,,,hitFlop=3,High,,wikipedia,2.0,2026-07-02
